id,sncl_id,metric_id,value,starttime,endtime,datasrc_id,created_at
"12778273","446","83","212.501750279","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778274","446","84","-4121","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778275","446","85","-2534","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778276","446","79","1802.54","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778277","446","80","1802.54","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778278","446","77","50.00110957","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778279","446","78","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778280","446","105","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778281","446","106","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778282","446","107","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778283","446","108","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778284","449","99","1","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778285","449","100","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778286","449","101","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778287","449","102","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778288","449","103","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778289","449","104","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778290","449","86","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778291","449","87","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778292","449","88","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778293","449","89","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778294","449","90","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778295","449","91","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
"12778296","449","92","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:38"
